year,prefecture_code,prefecture_name,analysis_population_n,scene_stay_ge30_n,scene_stay_ge30_share_reported_pct,scene_stay_ge45_n,scene_stay_ge60_n,source_pdf_filename,source_pdf_page,extraction_method,double_check_status,scene_stay_ge30_share_calculated_pct,rounding_difference_pp
2016,46,鹿児島県,5997,186,3.1,48,18,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.1015507753876936,0.0015507753876935482
2016,47,沖縄県,7408,78,1.1,16,4,2016_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.0529157667386608,-0.04708423326133926
2017,1,北海道,21703,880,4.1,196,71,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.054738976178409,-0.04526102382159092
2017,2,青森県,7036,179,2.5,28,9,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.5440591245025583,0.04405912450255833
2017,3,岩手県,6589,297,4.5,53,23,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.507512520868113,0.0075125208681132705
2017,4,宮城県,9611,771,8.0,144,46,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,8.022058058474665,0.022058058474664577
2017,5,秋田県,7477,57,0.8,20,7,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,0.7623378360304935,-0.0376621639695065
2017,6,山形県,6232,233,3.7,27,11,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.738767650834403,0.03876765083440281
2017,7,福島県,8929,685,7.7,165,53,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,7.67163176167544,-0.02836823832456048
2017,8,茨城県,10562,644,6.1,141,59,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,6.09733005112668,-0.0026699488733195054
2017,9,栃木県,7341,371,5.1,83,34,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,5.053807383190301,-0.04619261680969888
2017,10,群馬県,9723,345,3.5,90,51,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,3.5482875655661834,0.04828756556618341
2017,11,埼玉県,24876,3326,13.4,903,331,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,13.370316771185077,-0.029683228814922913
2017,12,千葉県,18995,2009,10.6,500,162,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,10.576467491445117,-0.02353250855488298
2017,13,東京都,41073,1781,4.3,509,158,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.336181919996105,0.036181919996105094
2017,14,神奈川県,32765,2571,7.8,495,131,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,7.846787730810316,0.0467877308103164
2017,15,新潟県,11676,956,8.2,225,72,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,8.187735525865023,-0.012264474134976666
2017,16,富山県,3877,38,1.0,14,6,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,0.9801392829507352,-0.019860717049264842
2017,17,石川県,6064,92,1.5,16,7,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.517150395778364,0.01715039577836408
2017,18,福井県,3569,41,1.1,11,4,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.1487811711964135,0.04878117119641345
2017,19,山梨県,3611,150,4.2,30,5,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.153973968429798,-0.04602603157020191
2017,20,長野県,8534,219,2.6,43,22,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,2.5662057651745958,-0.033794234825404335
2017,21,岐阜県,9357,131,1.4,45,14,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,1.400021374372128,2.137437212801352e-05
2017,22,静岡県,9755,468,4.8,100,41,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,4.797539723218862,-0.0024602767811376935
2017,23,愛知県,18732,170,0.9,57,29,2017_fdma_acceptance_friction.pdf,9,pdftotext_layout_plus_render_review,checked,0.9075379030535982,0.007537903053598138
